transaction_id,price
{8355F009-9C32-55C5-E053-6B04A8C0D090}  ,210437.953125
{8355F008-F8E5-55C5-E053-6B04A8C0D090}  ,146641.875
{8355F009-83DD-55C5-E053-6B04A8C0D090}  ,89874.109375
{80E1AA98-9CB1-7BF8-E053-6C04A8C00BF2}  ,133109.59375
{80E1AA98-A8C4-7BF8-E053-6C04A8C00BF2}  ,37062.25390625
{80E1AA98-4231-7BF8-E053-6C04A8C00BF2}  ,183025.015625
{80E1AA98-A13A-7BF8-E053-6C04A8C00BF2}  ,904298.125
{8355F009-A621-55C5-E053-6B04A8C0D090}  ,196002.9375
{8355F009-6515-55C5-E053-6B04A8C0D090}  ,98836.7890625
{8355F009-AFA7-55C5-E053-6B04A8C0D090}  ,206214.90625
{8355F009-1070-55C5-E053-6B04A8C0D090}  ,161692.046875
{80E1AA98-CFF8-7BF8-E053-6C04A8C00BF2}  ,119978.3671875
{80E1AA98-5008-7BF8-E053-6C04A8C00BF2}  ,86911.046875
{80E1AA98-66A7-7BF8-E053-6C04A8C00BF2}  ,578465.8125
{8355F009-685B-55C5-E053-6B04A8C0D090}  ,233379.78125
{8355F008-AD47-55C5-E053-6B04A8C0D090}  ,639071.1875
{8355F008-A2D0-55C5-E053-6B04A8C0D090}  ,368783.46875
{80E1AA98-5CC3-7BF8-E053-6C04A8C00BF2}  ,98122.859375
{8355F008-F088-55C5-E053-6B04A8C0D090}  ,241794.03125
{8355F008-C5A0-55C5-E053-6B04A8C0D090}  ,188493.1875
{8355F009-5E3F-55C5-E053-6B04A8C0D090}  ,563325.3125
{8355F009-3BB4-55C5-E053-6B04A8C0D090}  ,276027.9375
{8355F009-0681-55C5-E053-6B04A8C0D090}  ,155581.671875
{80E1AA98-9750-7BF8-E053-6C04A8C00BF2}  ,72929.1328125
{80E1AA98-6B97-7BF8-E053-6C04A8C00BF2}  ,314190.21875
{80E1AA98-7BC0-7BF8-E053-6C04A8C00BF2}  ,695061.5625
